NumWaters,NumHBonds,NumFreeOH,ThreeCycles,FourCycles,FiveCycles,SixCycles,Energy,HBondSaturation,ADD,AAAD,A,D,AA,AAAADD,AD,AAD,AAA,None,AAADD,AADD,DD,AAAAD
7,10,4,1,3,2,0,-56.8169594,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,9,5,0,3,0,1,-56.7966232,0.6428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,1,3,2,0,-56.7731895,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,0,7,0,0,-56.7506294,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
7,9,5,0,2,3,0,-56.7412148,0.6428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,1,3,2,0,-56.7245445,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,1,3,2,0,-56.7200317,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,1,3,2,0,-56.6894608,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,9,5,0,3,2,0,-56.6348114,0.6428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
7,9,5,0,3,2,0,-56.6157913,0.6428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,0,7,0,0,-56.5813065,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
7,10,4,1,3,2,0,-56.5654335,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,9,5,0,2,3,0,-56.5362358,0.6428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,1,3,2,0,-56.5349541,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,1,3,2,0,-56.5013962,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,0,7,0,0,-56.477005,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
7,10,4,0,7,0,0,-56.4589386,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
7,10,4,0,7,0,0,-56.3590546,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
7,10,4,1,3,2,0,-56.3574486,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,1,3,2,0,-56.3454895,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,9,5,0,3,2,0,-56.3322716,0.6428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,1,3,2,0,-56.2955322,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,9,5,0,3,2,0,-56.2683029,0.6428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
7,9,5,0,2,3,0,-56.1687698,0.6428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,1,3,2,0,-56.1524506,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,9,5,0,2,3,0,-56.1394501,0.6428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
7,9,5,0,3,2,0,-56.138916,0.6428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,1,3,2,0,-56.1285782,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,1,3,2,0,-56.0553207,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,1,3,2,0,-56.0468559,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,1,3,2,0,-56.0218124,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,9,5,0,2,3,0,-55.9538422,0.6428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
7,10,4,1,3,2,0,-55.9355316,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
7,9,5,0,2,3,0,-55.9255867,0.6428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
7,9,5,0,2,3,0,-55.8706627,0.6428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
8,12,4,0,6,0,4,-73.3260498,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
8,12,4,0,6,0,4,-73.2936554,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
8,12,4,0,6,0,4,-70.9184799,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
8,12,4,0,6,0,4,-70.8874054,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
8,12,4,0,6,0,4,-70.103035,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
8,12,4,0,6,0,4,-70.0939636,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
8,12,4,0,6,0,4,-70.069664,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
8,12,4,0,6,0,4,-69.8161011,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
8,11,5,0,3,4,0,-69.1362076,0.6875,0.375,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0
8,11,5,0,3,4,0,-68.8637695,0.6875,0.375,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0
8,11,5,0,3,4,0,-68.7071381,0.6875,0.375,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0
8,11,5,0,3,4,0,-68.6724548,0.6875,0.375,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0
8,11,5,0,3,4,0,-68.6403809,0.6875,0.375,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0
8,11,5,0,3,4,0,-68.6143265,0.6875,0.375,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0
8,11,5,0,3,4,0,-68.5904083,0.6875,0.375,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0
8,12,4,1,4,3,1,-68.4811707,0.75,0.375,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.0,0.0,0.0,0.125,0.0,0.0
8,12,4,1,4,3,1,-68.452034,0.75,0.375,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.0,0.0,0.0,0.125,0.0,0.0
8,11,5,0,3,4,0,-68.3609695,0.6875,0.375,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0
9,13,5,0,4,2,3,-83.4160843,0.7222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
9,13,5,0,4,2,3,-83.0525055,0.7222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
9,13,5,0,4,2,3,-82.7648315,0.7222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
9,13,5,0,4,2,3,-82.7599945,0.7222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
9,13,5,0,4,2,3,-82.7597809,0.7222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
9,13,5,0,4,2,3,-82.3299789,0.7222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
9,13,5,0,4,2,3,-82.3067322,0.7222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
